物品名称,原大类,原中类,原小类,新大类,新子类,原容器,原位置
手表充电器,I. 电子设备与信息处理,移动设备与穿戴,配件与保护,🔌 电子数码,动力与线材,手机电子产品配件箱,次卧
表带,I. 电子设备与信息处理,移动设备与穿戴,配件与保护,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
擦屏幕的布,I. 电子设备与信息处理,移动设备与穿戴,配件与保护,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
微软 pad 内胆包,I. 电子设备与信息处理,移动设备与穿戴,配件与保护,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
usb 网线转换器,I. 电子设备与信息处理,移动设备与穿戴,配件与保护,🔌 电子数码,网络设备,手机电子产品配件箱,次卧
三脚架,I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
八爪鱼三脚架,I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
磁吸反光镜,I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
手机支架,I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,🔌 电子数码,核心计算设备,手机电子产品配件箱,次卧
麦克风类,I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
无线收音麦克风,I. 电子设备与信息处理,移动设备与穿戴,显示/采集设备,🔌 电子数码,外设与配件,手机电子产品配件箱,次卧
Apple TV,I. 电子设备与信息处理,娱乐与电视设备,电视/影音设备,🔌 电子数码,外设与配件,,
电视盒子,I. 电子设备与信息处理,娱乐与电视设备,电视/影音设备,🔌 电子数码,外设与配件,,
乐视电视,I. 电子设备与信息处理,娱乐与电视设备,电视/影音设备,🔌 电子数码,外设与配件,,
电子产品原装盒,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
Apple Watch 盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
AirPods 盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
华为耳机盒,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
iPhone 12 手机盒,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,核心计算设备,纸箱,主卧楼上
Apple TV 盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
K70E 盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
牙刷盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
MacBook 盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
红光盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
红光头戴盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
超声治疗仪 盒子,I. 电子设备与信息处理,包装盒（配件）,设备原装盒,🔌 电子数码,外设与配件,纸箱,主卧楼上
不知名遥控器,I. 电子设备与信息处理,遥控器,不可归类遥控器,🔌 电子数码,外设与配件,客厅杂物盒子,客厅
小玻璃罐,II. 容器、储存与包装,食品储存容器,玻璃材质容器,👕 织物服饰,配件挂饰,塑料收纳盒 ,吧台
迷你玻璃罐,II. 容器、储存与包装,食品储存容器,玻璃材质容器,👕 织物服饰,配件挂饰,塑料收纳盒 ,吧台
高硼硅玻璃瓶,II. 容器、储存与包装,食品储存容器,玻璃材质容器,👕 织物服饰,配件挂饰,塑料收纳盒 ,吧台
滴管,II. 容器、储存与包装,食品储存容器,玻璃材质容器,👕 织物服饰,配件挂饰,塑料收纳盒 ,吧台
滴瓶,II. 容器、储存与包装,食品储存容器,玻璃材质容器,👕 织物服饰,配件挂饰,塑料收纳盒 ,吧台
烧杯,II. 容器、储存与包装,食品储存容器,玻璃材质容器,👕 织物服饰,配件挂饰,塑料收纳盒 ,吧台
高硼硅玻璃罐,II. 容器、储存与包装,食品储存容器,玻璃材质容器,👕 织物服饰,配件挂饰,塑料收纳盒 ,吧台
食品圆形分装盒,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
食品塑料分装罐,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
米桶,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
食品小样分装盒,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
冰块模具,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
塑料罐,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
空茶罐,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
塑料酒壶,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
茶盒,II. 容器、储存与包装,食品储存容器,塑料/其他材质容器,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
酒杯,II. 容器、储存与包装,液体饮用容器,饮具,👕 织物服饰,配件挂饰,箱子,次卧楼上
玻璃水杯,II. 容器、储存与包装,液体饮用容器,饮具,👕 织物服饰,配件挂饰,箱子,次卧楼上
塑料水杯,II. 容器、储存与包装,液体饮用容器,饮具,👕 织物服饰,配件挂饰,箱子,次卧楼上
杯套,II. 容器、储存与包装,液体饮用容器,饮具,👕 织物服饰,配件挂饰,箱子,次卧楼上
分装滴瓶/喷瓶,II. 容器、储存与包装,液体饮用容器,分装滴瓶/喷瓶,👕 织物服饰,配件挂饰,口袋,客厅塑料柜
整理箱,II. 容器、储存与包装,杂物收纳与包装,收纳箱/袋,👕 织物服饰,配件挂饰,,主卧楼上
纸箱,II. 容器、储存与包装,杂物收纳与包装,收纳箱/袋,👕 织物服饰,配件挂饰,,主卧楼上
裹箱子的透明膜,II. 容器、储存与包装,杂物收纳与包装,收纳箱/袋,👕 织物服饰,配件挂饰,,主卧楼上
分装盒,II. 容器、储存与包装,杂物收纳与包装,收纳箱/袋,👕 织物服饰,配件挂饰,,主卧楼上
分装袋,II. 容器、储存与包装,杂物收纳与包装,收纳箱/袋,👕 织物服饰,配件挂饰,,主卧楼上
封口夹,II. 容器、储存与包装,杂物收纳与包装,封口/密封用品,👕 织物服饰,配件挂饰,,
扎带,II. 容器、储存与包装,杂物收纳与包装,封口/密封用品,👕 织物服饰,配件挂饰,,
自封袋,II. 容器、储存与包装,杂物收纳与包装,封口/密封用品,👕 织物服饰,配件挂饰,,
量筒,II. 容器、储存与包装,测量/分装工具,液体测量,👕 织物服饰,配件挂饰,,
量杯,II. 容器、储存与包装,测量/分装工具,液体测量,👕 织物服饰,配件挂饰,,
米桶,II. 容器、储存与包装,测量/分装工具,液体测量,👕 织物服饰,配件挂饰,,
电扇,III. 工具与机械设备,家用电器与设备,大型/加热电器,🏠 家居与工具,生活家电,,
大红光,III. 工具与机械设备,家用电器与设备,大型/加热电器,🏠 家居与工具,生活家电,,
红光毯,III. 工具与机械设备,家用电器与设备,大型/加热电器,🏠 家居与工具,生活家电,,
红光毯电源,III. 工具与机械设备,家用电器与设备,大型/加热电器,🏠 家居与工具,生活家电,,
筋膜枪,III. 工具与机械设备,家用电器与设备,大型/加热电器,🏠 家居与工具,生活家电,,
电压力锅,III. 工具与机械设备,家用电器与设备,烹饪电器,🍎 饮食供应,厨具/餐具,,
微波炉,III. 工具与机械设备,家用电器与设备,烹饪电器,🏠 家居与工具,生活家电,,
酸奶机,III. 工具与机械设备,家用电器与设备,烹饪电器,🍎 饮食供应,冲饮/饮品,,
绞肉机,III. 工具与机械设备,家用电器与设备,烹饪电器,🏠 家居与工具,生活家电,,
慢炖锅,III. 工具与机械设备,家用电器与设备,烹饪电器,🍎 饮食供应,厨具/餐具,,
迷你豆浆机,III. 工具与机械设备,家用电器与设备,烹饪电器,🏠 家居与工具,生活家电,,
去毛球机,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
电热夹板,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
红光鼻子仪器,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
雾化器,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
电脉冲理疗仪,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
驱蚊机,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
加热垫,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
电动推子,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
理发推子,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
超声理疗仪,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
红光护手,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
红光护腰,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
红光促智仪,III. 工具与机械设备,家用电器与设备,小型电器,🏠 家居与工具,生活家电,袋子,
大红光挂具,III. 工具与机械设备,家用电器与设备,电器配件,🏠 家居与工具,生活家电,,客厅茶几抽屉
美工刀,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
卷尺,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
螺丝,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
扳手,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
绑带,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
管道卡扣器,III. 工具与机械设备,手动工具,切割/修理/安装 工具,📚 文档资产,办公与文具,工具箱,客厅
万向轮,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
胶布,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
双面胶,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
电胶布,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,生活家电,工具箱,客厅
胶带,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
自封胶布,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
胶棒,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
高强度铸工胶,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
砂纸,III. 工具与机械设备,手动工具,切割/修理/安装 工具,📚 文档资产,办公与文具,工具箱,客厅
针,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
针线工具,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
线,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
针线工具,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
夹子,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
磁铁,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
蓝丁胶,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
透明软管,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
软尺,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
头灯,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,五金工具/耗材,工具箱,客厅
冰箱清洗工具,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🏠 家居与工具,包装与收纳,工具箱,客厅
电子挂钩秤,III. 工具与机械设备,手动工具,切割/修理/安装 工具,🔌 电子数码,外设与配件,工具箱,客厅
刀,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
叉子,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
勺子,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
烧烤刷,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
研磨钵,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
夏威夷果开果器,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
硅胶漏斗,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
红酒开瓶器,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,包装与收纳,,
开核桃器,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
烤红薯袋子,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,包装与收纳,,
搅拌器,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
打蛋器,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
一次性手套,III. 工具与机械设备,手动工具,厨卫用具（非电器）,👕 织物服饰,配件挂饰,,
洗杯子刷子,III. 工具与机械设备,手动工具,厨卫用具（非电器）,🏠 家居与工具,生活家电,,
夹子,III. 工具与机械设备,手动工具,文具与办公,📚 文档资产,办公与文具,,
尺子,III. 工具与机械设备,手动工具,文具与办公,📚 文档资产,办公与文具,,
白板擦,III. 工具与机械设备,手动工具,文具与办公,📚 文档资产,办公与文具,,
白板,III. 工具与机械设备,手动工具,文具与办公,📚 文档资产,办公与文具,,
各种笔,III. 工具与机械设备,手动工具,文具与办公,📚 文档资产,办公与文具,,
测电笔,III. 工具与机械设备,检测与测量设备,电子测量,🔌 电子数码,外设与配件,工具箱,
电磁辐射检测仪,III. 工具与机械设备,检测与测量设备,电子测量,🔌 电子数码,外设与配件,工具箱,
功率测试器,III. 工具与机械设备,检测与测量设备,电子测量,🔌 电子数码,外设与配件,工具箱,
电池电量测试器,III. 工具与机械设备,检测与测量设备,电子测量,🔌 电子数码,动力与线材,工具箱,
电线检测仪,III. 工具与机械设备,检测与测量设备,电子测量,🔌 电子数码,外设与配件,工具箱,
不锈钢测试液,III. 工具与机械设备,检测与测量设备,化学测量,🏠 家居与工具,五金工具/耗材,,
杯子温度贴,III. 工具与机械设备,检测与测量设备,温度/物理测量,🏠 家居与工具,五金工具/耗材,,
电温度计,III. 工具与机械设备,检测与测量设备,温度/物理测量,🏠 家居与工具,生活家电,,
usb温度计,III. 工具与机械设备,检测与测量设备,温度/物理测量,🏠 家居与工具,五金工具/耗材,,
卷尺,III. 工具与机械设备,检测与测量设备,物理测量,🏠 家居与工具,五金工具/耗材,,
软尺,III. 工具与机械设备,检测与测量设备,物理测量,🏠 家居与工具,五金工具/耗材,,
刮痧板,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
指甲刀相关,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
锉刀,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
掏耳勺,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
痒痒挠,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
筋膜枪配件,III. 工具与机械设备,日用工具,个人护理工具,🧼 个人护理,身体洗护,,客厅抽屉
牛奶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
A2 奶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
纯牛奶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
咖啡,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,粮油/调味品,,
可可粉,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,粮油/调味品,,
苹果醋,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,粮油/调味品,,
茶叶,IV. 化成品与消耗品,食品与饮品,饮品类,🍎 饮食供应,冲饮/饮品,,
冰糖,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
食用明胶,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
小麦纤维素,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
助糖 3 号,IV. 化成品与消耗品,食品与饮品,原料/辅料,🍎 饮食供应,粮油/调味品,,
糯米纸,IV. 化成品与消耗品,食品与饮品,原料/辅料,📚 文档资产,办公与文具,,
洗面奶,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
刮胡刀,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
刮胡刀头,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
刮胡膏护肤品,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
凡士林,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
面霜,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
醒肤露,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
精华原液,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
面膜,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
唇膏,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
蜂蜡,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
唇膏制作工具,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
唇膏管,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,身体洗护,,
防晒霜,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
痘痘贴,IV. 化成品与消耗品,个人护理与健康品,面部护理,🧼 个人护理,护肤与美妆,,
